month,call,data,sms,comp
1,0.0013092067906412721,0.0012056660428906752,0.0010499794309171157,7.698158738050405e-05
2,0.000376500049611142,0.0003553928358893651,0.0008312566612792464,6.662285988203186e-05
3,0.0006540539587392205,0.00037504546508863857,0.0015972690311766634,2.0205879865884213e-05
4,0.0008422045993870001,0.0007005359600528636,0.0003341916682361654,5.116957014886968e-05
5,0.0005044954564625176,0.0014973898463914307,0.0006286624361916085,0.00011742701589820772
6,0.0006787237487227962,0.0003942386389436085,0.0011849695764637642,3.0371296085796568e-05
7,0.0008118053916820434,0.0009852081331385852,0.0008801565735971531,0.0006765039222259751
8,0.0013836288399328017,0.0005659098780763291,0.0013232450743255499,3.273862728975511e-05
9,0.0008347104745298968,0.0007369621676854453,0.0006604183304106899,0.00013584456955029412
10,0.04652046155632494,0.02703405318142839,0.00023720693719737318,2.670256186597702e-06
11,0.046186046169895814,0.03423666420497676,0.0006701512022392717,0.00023537539869282112
12,0.04872130301677356,0.030116784426657894,0.0002922698865279582,0.00012646774645643774
